QUARTER,Fitted PD,Default Rate
200712,3.52%,5.28%
200803,3.51%,4.09%
200806,3.74%,5.21%
200809,3.80%,6.28%
200812,3.83%,6.47%
200903,3.68%,6.20%
200906,3.81%,5.57%
200909,3.96%,5.03%
200912,3.97%,4.60%
201003,4.01%,4.11%
201006,4.27%,4.10%
201009,4.31%,4.15%
201012,4.22%,3.83%
201103,4.23%,4.04%
201106,4.07%,3.88%
201109,3.97%,3.37%
201112,3.90%,3.27%
201203,3.84%,3.09%
201206,3.77%,3.25%
201209,3.67%,2.96%
201212,3.76%,3.21%
201303,3.78%,3.04%
201306,3.71%,2.99%
201309,3.78%,3.65%
201312,3.73%,3.67%
201403,3.67%,3.74%
201406,3.69%,3.61%
201409,3.58%,2.96%
201412,3.38%,2.82%
201503,3.33%,2.71%
201506,3.25%,2.81%
201509,3.19%,2.67%
201512,3.17%,2.36%
201603,3.10%,2.23%
201606,2.99%,1.98%
201609,2.94%,1.90%
201612,2.86%,2.18%
201703,2.82%,2.24%
201706,2.80%,2.36%
201709,2.77%,2.55%
201712,2.61%,2.55%